question,product_description,image_url,label
Will the volca sample get me a girlfriend?,Korg Amplifier Part VOLCASAMPLE,http://ecx.images-amazon.com/images/I/81I1XZeaMPL.jpg,1
Can u communicate with spirits even on Saturday?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
I won't get hunted right?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
I have a few questions.. Can you get possessed? Can you be any age older than 13.?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Has anyone asked where the treasure is? What was the answer you received?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Does the board comes with the spirit's?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
when i bought this product and used it i was suddenly compelled to eat a 5lb bag of gummy bears is this normal?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
so if I get this game I wont be haunted........right?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Does a demon appear😱?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Did this game summon the infamous spirits zozo and mama? Did anyone get in contact with deceased family members?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Are you all crazy?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Will this game convert me to the Scientologist religion?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
How do I get rid of the malignant demon that came with the game?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Is this a co-op board game? Can my new born play this game?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
can i get lottery winning numbers,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
we have a ouija board.is ok having it displayed in bathroom.,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
The board is calling me mama my sister nana my dad papa and calling itself zaza (seriously not joking) what should i do/say?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Can I use the board to open a portal to hell?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
will demons possess me?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Has anyone tried to contact a demon haunting them with this?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
When i got the board i metioned gods name jehova the board flew of my table then i read the bible it said that demons scurry off is this safe,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Will someone out there with a ouija boards ask the demons why he doesn't love me ?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
can i uleash demons on my enemys,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
"Does it answer for you? Cuz I've heard you gotta ""Pretend"" to move it. man if it moves by itself I will never be the same.",Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Have you all asked the Ouija board the winning lotto numbers?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
why do you sell this garbage?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
can you contact with the dead?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
don't mess with  them,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Once summoned can I get the demons to do my dark bidding for free or is there some kind of membership fee?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Has anyone spoken to Prince (from Purple Rain) or any other celebrities using this board?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Will this give you the power of GEEBUS,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Can I ask a spirit to haunt my ex boyfriend to death. He took my underwears and dresses.. never returned!,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Do you really contact evil spirts,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
I'm curious to know who killed my sons father cousin  would someone find out for me please his mother is in need of answers and so is his sons mom,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Will this help me summon Satan?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
can spirit predict the future?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
My board started on fire while playing. Is this normal?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
If I play it once will I get possessed,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Can I talk to people in heaven with this?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
How do you get it to stop levitating?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
do you need to sign for it,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
has it worked without batteries?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Guys was is there a black shadow in the corner of my room,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
"My wife and i never had issues (until we were married). she recently disappeared. Is ""The Ouija Made Me Do It"" a valid legal defense?",Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
During a ouija session is it safe to switch languages (from english to spanish) in the middle of It?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
How do I get a spirit to communicate?  I just got this board today. I asked a question but nothing came up.,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
is this game powered by satan or does it come with batteries?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Is this a real ouija board? Is it the cheap one?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Can i use this to fill my ex girlfriends house with demons as a prank?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
Will I get possess?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
is it evil!?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,1
