question,product_description,image_url,label
Is AudioPocket only for iPhone (recording sounds)  and can i download samples off my computer?,Korg Amplifier Part VOLCASAMPLE,http://ecx.images-amazon.com/images/I/81I1XZeaMPL.jpg,0
Standard shipping takes how long?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
Can I use this my self?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
If the felt comes off the guide can I return it? and if so how?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
Does it acually work?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
How do you play this board game? I heard it comes with no instructions on how to play.,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
will it work with one person?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
does the planchette have the little pointer in it?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
What are the board dimensions? The boards are getting so much smaller these days.,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
How much does cost shipping to Slovenia?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
Has anyone read the product description? Description Product Description Plastic game unit with Pop-O-Matic die roller 16 Playing Pegs,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
Does the planchette need batteries?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
I just ordered this Ouija. Is this the 1992 Model? What else should I expect? Great thanks.,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
Can u play by yourself? Y do u need 2 people?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
Did it work for anyone,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
Do you ship this internationally?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
Have you seen the NuCompanion?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
Does this come,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
is it dangerous to just have it for display? and not use it?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
Does this work does it actually move or is this bs,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
How sturdy is the board/How is the construction?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
Is this a scam or does it work? :0,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
Can you play alone?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
How much would shipping this to the Netherlands be ?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
Do you ship this internationally?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
How big is the planchette? What are the measurements?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
Standard shipping takes how long?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
Is it a board game,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
is the board made of wood?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
Is it brand new?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
What is it made of?,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
Is this a new ouija boad,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
Did it work for anyone,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
does it really works,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
I just ordered this Ouija. Is this the 1992 Model? What else should I expect? Great thanks.,Winning Moves Games Classic Ouija,http://ecx.images-amazon.com/images/I/81kcYEG5CjL.jpg,0
